SPACE,CATEGORY,PRODUCT_CODE,CARCASS_CODE,SHUTTER_CODE,TYPE,OPENING,SOLID,GLASS,ALU,PLY,SHUTTER_ORIGIN
Gola_Kitchen_Base_Unit,Base_corner_Bifolding_cabinate,BC_CBFGO_900,BC_CBFGO_900,No,Bi-fold,No,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Cylinder_cabinate,BC_CYGO_500,BC_CYGO_500,SD_50_67,Single,LHS/RHS,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Cylinder_cabinate,BC_CYGO_900,BC_CYGO_900,SD_90_67,Double,No,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Sink_Unit,BC_SKGO_600,BC_SKGO_600,SD_60_67,Single,LHS/RHS,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Sink_Unit,BC_SKGO_900,BC_SKGO_900,SD_90_67,Double,No,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Single_Doors,BC_SSDGO_400,BC_GO_400,SD_40_67,Single,LHS/RHS,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Single_Doors,BC_SSDGO_450,BC_GO_450,SD_45_67,Single,LHS/RHS,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Single_Doors,BC_SSDGO_500,BC_GO_500,SD_50_67,Single,LHS/RHS,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Single_Doors,BC_SSDGO_550,BC_GO_550,SD_55_67,Single,LHS/RHS,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Single_Doors,BC_SSDGO_600,BC_GO_600,SD_60_67,Single,LHS/RHS,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Double_Doors,BC_SDDGO_800,BC_GO_800,SD_80_67,Double,No,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Double_Doors,BC_SDDGO_900,BC_GO_900,SD_90_67,Double,No,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Bottle_Pull,BC_BPOGO_150,BC_BPOGO_150,No,Drawer,No,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Bottle_Pull,BC_BPOGO_200,BC_BPOGO_200,No,Drawer,No,Yes,No,No,No,1_1
Gola_Kitchen_Base_Unit,Base_Bottle_Pull,BC_BPOGO_300,BC_BPOGO_300,No,Drawer,No,Yes,No,No,No,1_1
